"","position","player","team","age","total_value","avg_year","total_guaranteed","fully_guaranteed","agency_time","type"
"1","right-tackle","Trent Brown","Raiders",26,66000000,16500000,36250000,36250000,2023,"UFA"
"2","right-tackle","Ja¡¯Wuan James","Broncos",27,51000000,12750000,32000000,27000000,2023,"UFA"
"3","right-tackle","Lane Johnson","Eagles",29,56250000,11250000,35500000,20862242,2022,"Void"
"4","right-tackle","Ricky Wagner","Lions",30,47500000,9500000,29500000,17500000,2022,"UFA"
"5","right-tackle","Rob Havenstein","Rams",26,32500000,8125000,16226365,9976365,2023,"UFA"
"6","right-tackle","Morgan Moses","Redskins",28,40000000,8000000,20000000,14047000,2023,"UFA"
"7","right-tackle","Bobby Massie","Bears",30,32000000,8000000,15800000,15800000,2023,"Void"
"8","right-tackle","La¡¯el Collins","Cowboys",26,15400000,7700000,15400000,9500000,2020,"UFA"
"9","right-tackle","Chris Hubbard","Browns",28,36500000,7300000,15150000,9000000,2023,"UFA"
"10","right-tackle","Bryan Bulaga","Packers",30,33750000,6750000,8000000,8000000,2020,"UFA"
"11","right-tackle","Mitchell Schwartz","Chiefs",30,33000000,6600000,15000000,12660000,2021,"UFA"
"12","right-tackle","Marcus Cannon","Patriots",31,32500000,6500000,14500000,12350000,2022,"UFA"
"13","right-tackle","Daryl Williams","Panthers",26,6000000,6000000,3000000,3000000,2020,"UFA"
"14","right-tackle","Marcus Gilbert","Cardinals",31,30000000,6000000,7650000,7650000,2020,"UFA"
"15","right-tackle","Cody Conway","Titans",23,1765000,5888333,25000,25000,2022,"RFA"
"16","right-tackle","Demar Dotson","Buccaneers",34,16500000,5500000,8500000,4250000,2020,"UFA"
"17","right-tackle","Bobby Hart","Bengals",25,16150000,5383333,6500000,5500000,2022,"UFA"
"18","right-tackle","Ty Sambrailo","Falcons",27,14250000,4750000,6000000,5000000,2022,"UFA"
"19","right-tackle","Mike McGlinchey","49ers",24,18341876,4585469,18341876,18341876,2022,"UFA"
"20","right-tackle","James Hurst","Ravens",28,17500000,4375000,8000000,6000000,2022,"UFA"
"21","right-tackle","Seantrel Henderson","Texans",27,4200000,4200000,1250000,900000,2020,"UFA"
"22","right-tackle","Jack Conklin","Titans",25,15897658,3974415,15897658,15897658,2020,"UFA"
"23","right-tackle","George Fant","Seahawks",27,3095000,3095000,0,0,2020,"UFA"
"24","right-tackle","Kaleb McGary","Falcons",26.0725216234198,10265742,2566436,9195437,9195437,2023,"UFA"
"25","4-3-outside-linebacker","Khalil Mack","Bears",28,141000000,23500000,90000000,60000000,2025,"UFA"
"26","4-3-outside-linebacker","Von Miller","Broncos",30,114500000,19083333,70000000,42000000,2022,"UFA"
"27","4-3-outside-linebacker","Za¡¯Darius Smith","Packers",26,66000000,16500000,20000000,20000000,2023,"UFA"
"28","right-tackle","Kendall Lamm","Browns",27,4500000,2250000,600000,600000,2021,"UFA"
"29","right-tackle","Ryan Ramczyk","Saints",25,8891810,2222953,7432291,7432291,2021,"UFA"
"30","right-tackle","Germain Ifedi","Seahawks",25,8265106,2066277,6688045,6688045,2020,"UFA"
"31","right-tackle","Rashod Hill","Vikings",27,2025000,2025000,0,0,2020,"UFA"
"32","right-tackle","Jawaan Taylor","Jaguars",22,7843422,1960856,5722577,5722577,2023,"UFA"
"33","right-tackle","Denzelle Good","Raiders",28,1800000,1800000,500000,500000,2020,"UFA"
"34","defensive-line","Aaron Donald","Rams",28,135000000,22500000,86892000,50000000,2025,"UFA"
"35","4-3-outside-linebacker","Jadeveon Clowney","Texans",26,15967200,15967200,15967200,0,2020,"UFA"
"36","4-3-outside-linebacker","Preston Smith","Packers",27,52000000,13000000,16000000,16000000,2023,"UFA"
"37","4-3-outside-linebacker","Ryan Kerrigan","Redskins",31,57500000,11500000,23788000,23788000,2021,"UFA"
"38","4-3-outside-linebacker","Cameron Wake","Titans",37,23000000,7666667,9750000,7250000,2022,"UFA"
"39","4-3-outside-linebacker","Bradley Chubb","Broncos",23,27271240,6817810,27271240,27271240,2022,"UFA"
"40","4-3-outside-linebacker","Whitney Mercilus","Texans",29,26000000,6500000,10681012,10681012,2020,"UFA"
"41","4-3-outside-linebacker","Kareem Martin","Giants",27,15000000,5000000,7250000,7250000,2021,"UFA"
"42","4-3-outside-linebacker","Clay Matthews","Rams",33,9250000,4625000,5500000,5500000,2021,"UFA"
"43","right-tackle","Dennis Kelly","Titans",29,3050000,1525000,550000,400000,2020,"UFA"
"44","right-tackle","Brent Qvale","Jets",28,1400000,1400000,550000,550000,2020,"UFA"
"45","right-tackle","Max Scharping","Texans",23,50268088,1267022,2926248,2926248,2023,"UFA"
"46","right-tackle","Brian O¡¯Neill","Vikings",24,4406640,1101660,2145593,2145593,2022,"UFA"
"47","right-tackle","Taylor Moton","Panthers",25,4158150,1039538,1877633,1877633,2021,"UFA"
"48","linebacker","Khalil Mack","Bears",28,141000000,23500000,90000000,60000000,2025,"UFA"
"49","defensive-line","Demarcus Lawrence","Cowboys",27,105000000,21000000,65000000,48000000,2024,"UFA"
"50","defensive-line","Frank Clark","Chiefs",26,104000000,20800000,62305000,43805000,2024,"UFA"
"51","defensive-line","Trey Flowers","Lions",26,90000000,18000000,56000000,50000000,2024,"UFA"
"52","defensive-line","Fletcher Cox","Eagles",29,102600000,17100000,63299000,36299000,2023,"Void"
"53","defensive-line","Dee Ford","49ers",28,85000000,17000000,45000000,19750000,2024,"UFA"
"54","4-3-outside-linebacker","Anthony Chickillo","Steelers",27,8000000,4000000,2195000,2195000,2021,"UFA"
"55","4-3-outside-linebacker","Rashan Gary","Packers",22,15877312,3969328,15877312,15877312,2023,"UFA"
"56","4-3-outside-linebacker","Leonard Floyd","Bears",27,15782990,3945748,15782990,15782990,2021,"UFA"
"57","4-3-outside-linebacker","Bud Dupree","Steelers",26,18454286,3690598,8632701,8632701,2020,"UFA"
"58","right-tackle","Brandon Parker","Raiders",24,4095336,1023834,1058424,1058424,2022,"UFA"
"59","right-tackle","J¡¯Marcus Webb","Colts",31,1020000,1020000,90000,90000,2020,"UFA"
"60","right-tackle","Cedric Ogbuehi","Jaguars",27,895000,895000,90000,90000,2020,"UFA"
"61","right-tackle","Martinas Rankin","Texans",25,3546268,886567,901268,901268,2022,"UFA"
"62","right-tackle","Orlando Brown","Ravens",23,3491720,872930,865720,865720,2022,"UFA"
"63","4-3-defensive-end","Aaron Donald","Rams",28,135000000,22500000,86892000,50000000,2025,"UFA"
"64","4-3-defensive-end","J.J. Watt","Texans",30,100000000,16666667,51876385,20876385,2022,"UFA"
"65","4-3-defensive-end","Jurrell Casey","Titans",30,60400000,15100000,40000000,22000000,2023,"UFA"
"66","linebacker","Von Miller","Broncos",30,114500000,19083333,70000000,42000000,2022,"UFA"
"67","linebacker","C.J. Mosley","Jets",27,85000000,17000000,51000000,43000000,2024,"UFA"
"68","linebacker","Za¡¯Darius Smith","Packers",26,66000000,16500000,20000000,20000000,2023,"UFA"
"69","linebacker","Jadeveon Clowney","Texans",26,15967200,15967200,15967200,0,2020,"UFA"
"70","linebacker","Anthony Barr","Vikings",27,67500000,13500000,33000000,15900000,2024,"UFA"
"71","4-3-defensive-tackle","Fletcher Cox","Eagles",29,102600000,17100000,63299000,36299000,2023,"Void"
"72","defensive-line","Olivier Vernon","Browns",29,85000000,17000000,52500000,40000000,2021,"UFA"
"73","defensive-line","J.J. Watt","Texans",30,100000000,16666667,51876385,20876385,2022,"UFA"
"74","defensive-line","Chandler Jones","Cardinals",29,82500000,16500000,53000000,31000000,2022,"UFA"
"75","defensive-line","Geno Atkins","Bengals",31,65200000,16300000,17000000,17000000,2023,"UFA"
"76","defensive-line","Kawann Short","Panthers",30,80500000,16100000,45000000,35000000,2022,"UFA"
"77","defensive-line","Melvin Ingram","Chargers",30,64000000,16000000,42000000,34000000,2021,"UFA"
"78","4-3-outside-linebacker","Romeo Okwara","Lions",24,6800000,3400000,3575000,3425000,2021,"Void"
"79","4-3-outside-linebacker","Montez Sweat","Redskins",26.0725216234198,11641260,2910315,11058816,11058816,2023,"UFA"
"80","4-3-outside-linebacker","T.J. Watt","Steelers",25,9258810,2314703,7933745,7933745,2021,"UFA"
"81","4-3-outside-linebacker","Brennan Scarlett","Texans",26,2025000,2025000,0,0,2020,"UFA"
"82","4-3-outside-linebacker","Harold Landry","Titans",23,6733690,1683423,4243305,4243305,2022,"UFA"
"83","4-3-defensive-end","Demarcus Lawrence","Cowboys",27,105000000,21000000,65000000,48000000,2024,"UFA"
"84","edge-rusher","Khalil Mack","Bears",28,141000000,23500000,90000000,60000000,2025,"UFA"
"85","right-tackle","Austin Pasztor","Titans",29,1720000,860000,0,0,2020,"UFA"
"86","right-tackle","Trey Pipkins","Chargers",26.0725216234198,3402116,850529,0,0,2020,"ERFA"
"87","right-tackle","TJ Clemmings","Bears",28,805000,805000,0,0,2020,"UFA"
"88","right-tackle","Chaz Green","Broncos",25,805000,805000,0,0,2020,"UFA"
"89","4-3-defensive-end","Stephon Tuitt","Steelers",26,60000000,12000000,14000000,14000000,2023,"UFA"
"90","4-3-defensive-end","Akiem Hicks","Bears",30,48000000,12000000,30000000,22000000,2022,"UFA"
"91","4-3-defensive-end","Michael Brockers","Rams",29,33250000,11083333,24396000,18146000,2020,"UFA"
"92","4-3-defensive-end","Brandon Williams","Ravens",30,52500000,10500000,27500000,24500000,2022,"UFA"
"93","4-3-defensive-end","Cameron Heyward","Steelers",30,52281000,10456200,16000000,16000000,2021,"UFA"
"94","4-3-defensive-end","Mike Daniels","Packers",30,41000000,10250000,12000000,12000000,2020,"UFA"
"95","4-3-defensive-end","Derek Wolfe","Broncos",29,36700000,9175000,17500000,12000000,2020,"UFA"
"96","4-3-defensive-end","Henry Anderson","Jets",28,25200000,8400000,17000000,17000000,2022,"UFA"
"97","linebacker","Kwon Alexander","49ers",25,54000000,13500000,27500000,14250000,2023,"UFA"
"98","linebacker","Preston Smith","Packers",27,52000000,13000000,16000000,16000000,2023,"UFA"
"99","linebacker","Luke Kuechly","Panthers",28,61795295,12359059,34363324,27000000,2022,"UFA"
"100","linebacker","Ryan Kerrigan","Redskins",31,57500000,11500000,23788000,23788000,2021,"UFA"
"101","4-3-defensive-tackle","Geno Atkins","Bengals",31,65200000,16300000,17000000,17000000,2023,"UFA"
"102","4-3-defensive-tackle","Kawann Short","Panthers",30,80500000,16100000,45000000,35000000,2022,"UFA"
"103","4-3-defensive-tackle","Grady Jarrett","Falcons",26,15209000,15209000,0,0,2020,"UFA"
"104","4-3-defensive-tackle","Marcell Dareus","Jaguars",29,28085000,14042500,7835000,7835000,2021,"UFA"
"105","4-3-defensive-tackle","Linval Joseph","Vikings",31,50000000,12500000,31500000,11150000,2023,"UFA"
"106","4-3-defensive-tackle","Sheldon Richardson","Browns",29,37000000,12333333,21500000,15000000,2022,"UFA"
