,,,Overall Record,,,,,Service,,Championships,,,
Name,Team,Seasons,Gms,W,L,T,Pct,Yrs,Post,DIV,CON,LG,SB
Bill Belichick,NE,"1991-95,00-21",464,313,151,0,0.675,27,18,17,9,6,6
Andy Reid,KC,1999-21,389,240,148,1,0.618,23,16,11,3,1,1
Pete Carroll,SEA,"1994,97-99,10-21",266,158,107,1,0.596,16,11,6,2,1,1
Mike Tomlin,PIT,2007-21,245,155,89,1,0.635,15,9,7,2,1,1
Sean Payton,NO,"2006-11,13-21",246,155,91,0,0.63,15,9,7,1,1,1
Mike McCarthy,DAL,"2006-18,20-21",243,145,96,2,0.601,15,9,6,1,1,1
John Harbaugh,BAL,2008-21,232,144,88,0,0.621,14,9,4,1,1,1
John Gruden,LV,"1998-08,18-21",238,122,116,0,0.513,15,5,5,1,1,1
Ron Rivera,WAS,2011-21,169,88,80,1,0.524,11,5,4,1,0,0
Bruce Arians,TB,"2013-17,19-21",124,76,47,1,0.617,8,3,1,1,1,1
Mike Zimmer,MIN,2014-21,122,68,53,1,0.561,8,3,2,0,0,0
Sean McVay,LA,2017-21,75,50,25,0,0.667,5,3,2,1,0,0
Sean McDermott,BUF,2017-21,74,44,30,0,0.595,5,3,1,0,0,0
Mike Vrabel,TEN,2018-21,57,34,23,0,0.596,4,2,1,0,0,0
Kyle Shanahan,SF,2017-21,72,33,39,0,0.458,5,1,1,1,0,0
Matt LaFleur,GB,2019-21,41,32,9,0,0.78,3,2,2,0,0,0
Matt Nagy,CHI,2018-21,55,31,24,0,0.564,4,2,1,0,0,0
Frank Reich,IND,2018-21,56,30,26,0,0.536,4,2,0,0,0,0
Kliff Kingsbury,ARI,2019-21,37,18,18,1,0.5,3,0,0,0,0,0
Brian Flores,MIA,2019-21,37,16,21,0,0.432,3,0,0,0,0,0
Kevin Stefanski,CLE,2020-21,23,15,8,0,0.652,2,1,0,0,0,0
Vic Fangio,DEN,2019-21,37,15,22,0,0.405,3,0,0,0,0,0
Zac Taylor,CIN,2019-21,37,9,27,1,0.257,3,0,0,0,0,0
Matt Rhule,CAR,2020-21,21,8,13,0,0.381,2,0,0,0,0,0
Joe Judge,NYG,2020-21,21,7,14,0,0.333,2,0,0,0,0,0
Dan Campbell,DET,"2015,21",17,5,12,0,0.294,2,0,0,0,0,0
Brandon Staley,LAC,2021,5,4,1,0,0.8,1,0,0,0,0,0
Nick Sirianni,PHI,2021,5,2,3,0,0.4,1,0,0,0,0,0
Arthur Smith,ATL,2021,5,2,3,0,0.4,1,0,0,0,0,0
David Culley,HOU,2021,5,1,4,0,0.2,1,0,0,0,0,0
Robert Saleh,NYJ,2021,5,1,4,0,0.2,1,0,0,0,0,0
Urban Meyer,JAX,2021,5,0,5,0,0,1,0,0,0,0,0
